Unidade Geográfica;Tema;Nome Indicador + Unidade de Medida ;Ano;Abrangência Geografica;Botao;Redefinir;Nome Curto Indicador;Rede Grupo;regiao_metropolitana;regiao_planejamento;TipoRede;Fonte;regionalizado;Unidade Medida;Valor;valor_adicional1;valor_adicional2
Mulungu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2017;Mulungu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;23;;
Ocara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2017;Ocara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;94;;
Pacoti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2017;Pacoti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Palmácia;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2017;Palmácia;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Redenção;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2017;Redenção;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;18;;
Acarape;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Acarape;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Aracoiaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Aracoiaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Aratuba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Aratuba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Barreira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Barreira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Baturité;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Baturité;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Capistrano;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Capistrano;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Guaramiranga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Guaramiranga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Itapiúna;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Itapiúna;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Mulungu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Mulungu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Ocara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Ocara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Pacoti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Pacoti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Palmácia;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Palmácia;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Redenção;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Redenção;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Acarape;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Acarape;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Aracoiaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Aracoiaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Aratuba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Aratuba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;92;;
Barreira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Barreira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Baturité;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Baturité;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Capistrano;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Capistrano;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Guaramiranga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Guaramiranga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;22;;
Itapiúna;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Itapiúna;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Mulungu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Mulungu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;15;;
Ocara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Ocara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Pacoti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Pacoti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;74;;
Palmácia;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Palmácia;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Redenção;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Redenção;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Maciço de Baturité;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Carnaubal;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Carnaubal;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Croatá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Croatá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Guaraciaba do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Guaraciaba do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Ibiapina;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Ibiapina;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Ipu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Ipu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
São Benedito;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;São Benedito;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Tianguá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Tianguá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Ubajara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Ubajara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Viçosa do Ceará;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Viçosa do Ceará;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;200;;
Carnaubal;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Carnaubal;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;20;;
Croatá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Croatá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;42;;
Guaraciaba do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Guaraciaba do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;24;;
Ibiapina;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Ibiapina;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Ipu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Ipu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;230;;
São Benedito;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;São Benedito;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;22;;
Tianguá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Tianguá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;51;;
Ubajara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Ubajara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Viçosa do Ceará;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Viçosa do Ceará;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;33;;
Carnaubal;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Carnaubal;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Croatá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Croatá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Guaraciaba do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Guaraciaba do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Ibiapina;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Ibiapina;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;4;;
Ipu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Ipu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;107;;
São Benedito;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;São Benedito;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;17;;
Tianguá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Tianguá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;66;;
Ubajara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Ubajara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Serra da Ibiapaba;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Crateús;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Crateús;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;41;;
Hidrolândia;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Hidrolândia;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Independência;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Independência;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;57;;
Ipaporanga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Ipaporanga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;236;;
Ipueiras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Ipueiras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Monsenhor Tabosa;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Monsenhor Tabosa;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Nova Russas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Nova Russas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Novo Oriente;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Novo Oriente;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Poranga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Poranga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Santa Quitéria;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Santa Quitéria;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Tamboril;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Tamboril;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Ararendá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Ararendá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Catunda;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Catunda;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Crateús;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Crateús;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Hidrolândia;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Hidrolândia;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Independência;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Independência;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Ipaporanga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Ipaporanga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Ipueiras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Ipueiras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;12;;
Monsenhor Tabosa;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Monsenhor Tabosa;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;13;;
Nova Russas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Nova Russas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;4;;
Novo Oriente;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Novo Oriente;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Poranga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Poranga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;101;;
Santa Quitéria;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Santa Quitéria;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Tamboril;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Tamboril;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Crateús;Verdadeiro; Secretaria da Saúde (SESA).;sim;;16;;
Aiuaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Aiuaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Arneiroz;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Arneiroz;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Parambu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Parambu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Quiterianópolis;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Quiterianópolis;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Tauá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Tauá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;121;;
Aiuaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Aiuaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Arneiroz;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Arneiroz;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Parambu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Parambu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Quiterianópolis;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Quiterianópolis;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Tauá;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Tauá;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Sertão dos Inhamuns;Verdadeiro; Secretaria da Saúde (SESA).;sim;;137;;
Alto Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Alto Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Ererê;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Ererê;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Iracema;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Iracema;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Jaguaretama;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Jaguaretama;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Jaguaribara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Jaguaribara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;13;;
Jaguaribe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Jaguaribe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;22;;
Limoeiro do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Limoeiro do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1388;;
Morada Nova;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Morada Nova;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Vale do Jaguaribe;Verdadeiro; Secretaria da Saúde (SESA).;sim;;54;;
Saboeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Saboeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Umari;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Umari;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Acopiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Acopiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Baixio;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Baixio;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Cariús;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Cariús;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Catarina;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Catarina;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Cedro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Cedro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Icó;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Icó;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Iguatu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Iguatu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;18;;
Ipaumirim;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2009;Ipaumirim;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
